MATCHUP,GAME_ID,SEASON,GAME_DATE,HOME_TEAM_NICKNAME,HOME_TEAM_ID,AWAY_TEAM_NICKNAME,AWAY_TEAM_ID
04/06/2018 Bulls at Celtics,21701185,2017-18,2018-04-06, Celtics,1610612738, Bulls,1610612741
04/04/2018 Celtics at Raptors,21701171,2017-18,2018-04-04, Raptors,1610612761, Celtics,1610612738
04/03/2018 Celtics at Bucks,21701162,2017-18,2018-04-03, Bucks,1610612749, Celtics,1610612738
03/31/2018 Raptors at Celtics,21701140,2017-18,2018-03-31, Celtics,1610612738, Raptors,1610612761
03/28/2018 Celtics at Jazz,21701121,2017-18,2018-03-28, Jazz,1610612762, Celtics,1610612738
03/26/2018 Celtics at Suns,21701107,2017-18,2018-03-26, Suns,1610612756, Celtics,1610612738
03/25/2018 Celtics at Kings,21701099,2017-18,2018-03-25, Kings,1610612758, Celtics,1610612738
03/23/2018 Celtics at Trail Blazers,21701086,2017-18,2018-03-23, Trail Blazers,1610612757, Celtics,1610612738
03/20/2018 Thunder at Celtics,21701059,2017-18,2018-03-20, Celtics,1610612738, Thunder,1610612760
03/18/2018 Celtics at Pelicans,21701047,2017-18,2018-03-18, Pelicans,1610612740, Celtics,1610612738
03/16/2018 Celtics at Magic,21701029,2017-18,2018-03-16, Magic,1610612753, Celtics,1610612738
03/14/2018 Wizards at Celtics,21701017,2017-18,2018-03-14, Celtics,1610612738, Wizards,1610612764
03/11/2018 Pacers at Celtics,21700998,2017-18,2018-03-11, Celtics,1610612738, Pacers,1610612754
03/08/2018 Celtics at Timberwolves,21700974,2017-18,2018-03-08, Timberwolves,1610612750, Celtics,1610612738
03/05/2018 Celtics at Bulls,21700953,2017-18,2018-03-05, Bulls,1610612741, Celtics,1610612738
03/03/2018 Celtics at Rockets,21700939,2017-18,2018-03-03, Rockets,1610612745, Celtics,1610612738
02/28/2018 Hornets at Celtics,21700916,2017-18,2018-02-28, Celtics,1610612738, Hornets,1610612766
02/26/2018 Grizzlies at Celtics,21700898,2017-18,2018-02-26, Celtics,1610612738, Grizzlies,1610612763
02/24/2018 Celtics at Knicks,21700886,2017-18,2018-02-24, Knicks,1610612752, Celtics,1610612738
02/23/2018 Celtics at Pistons,21700873,2017-18,2018-02-23, Pistons,1610612765, Celtics,1610612738
02/14/2018 Clippers at Celtics,21700858,2017-18,2018-02-14, Celtics,1610612738, Clippers,1610612746
02/11/2018 Cavaliers at Celtics,21700835,2017-18,2018-02-11, Celtics,1610612738, Cavaliers,1610612739
02/09/2018 Pacers at Celtics,21700820,2017-18,2018-02-09, Celtics,1610612738, Pacers,1610612754
02/08/2018 Celtics at Wizards,21700813,2017-18,2018-02-08, Wizards,1610612764, Celtics,1610612738
02/06/2018 Celtics at Raptors,21700798,2017-18,2018-02-06, Raptors,1610612761, Celtics,1610612738
02/04/2018 Trail Blazers at Celtics,21700784,2017-18,2018-02-04, Celtics,1610612738, Trail Blazers,1610612757
01/31/2018 Knicks at Celtics,21700758,2017-18,2018-01-31, Celtics,1610612738, Knicks,1610612752
01/29/2018 Celtics at Nuggets,21700743,2017-18,2018-01-29, Nuggets,1610612743, Celtics,1610612738
01/27/2018 Celtics at Warriors,21700728,2017-18,2018-01-27, Warriors,1610612744, Celtics,1610612738
01/24/2018 Celtics at Clippers,21700709,2017-18,2018-01-24, Clippers,1610612746, Celtics,1610612738
01/23/2018 Celtics at Lakers,21700700,2017-18,2018-01-23, Lakers,1610612747, Celtics,1610612738
01/21/2018 Magic at Celtics,21700683,2017-18,2018-01-21, Celtics,1610612738, Magic,1610612753
01/18/2018 76ers at Celtics,21700663,2017-18,2018-01-18, Celtics,1610612738, 76ers,1610612755
01/16/2018 Pelicans at Celtics,21700650,2017-18,2018-01-16, Celtics,1610612738, Pelicans,1610612740
