HOME_TEAM_ID,GAME_ID,SEASON,HOME_W,HOME_LAST_GAME_OE,HOME_LAST_GAME_HOME_WIN_PCTG,HOME_NUM_REST_DAYS,HOME_LAST_GAME_AWAY_WIN_PCTG,HOME_LAST_GAME_TOTAL_WIN_PCTG,HOME_LAST_GAME_ROLLING_SCORING_MARGIN,HOME_LAST_GAME_ROLLING_OE,HOME_LAST_GAME_FG_PCT,HOME_LAST_GAME_TOT_REB,HOME_LAST_GAME_TURNOVERS,AWAY_TEAM_ID,AWAY_LAST_GAME_OE,AWAY_LAST_GAME_HOME_WIN_PCTG,AWAY_NUM_REST_DAYS,AWAY_LAST_GAME_AWAY_WIN_PCTG,AWAY_LAST_GAME_TOTAL_WIN_PCTG,AWAY_LAST_GAME_ROLLING_SCORING_MARGIN,AWAY_LAST_GAME_ROLLING_OE,AWAY_LAST_GAME_FG_PCT,AWAY_LAST_GAME_TOT_REB,AWAY_LAST_GAME_TURNOVERS
1610612749,22100641,2021-22,0,0.5748031496062992,1.0,7.0,,99.65116279069767,2.3333333333333335,0.5276666236392581,0.512,59.0,17.0,1610612761,0.46,,7.0,0.0,218.40540540540542,-5.333333333333333,0.5050205428706136,0.322,59.0,11.0
1610612749,22100674,2021-22,1,0.5309734513274337,,7.0,0.0,95.24444444444444,1.6666666666666667,0.5185922003112443,0.443,46.0,13.0,1610612763,0.5891472868217055,1.0,7.0,,193.13333333333333,-2.0,0.5432008023076144,0.511,54.0,18.0
1610612749,22100690,2021-22,1,0.5859375,1.0,7.0,,93.17391304347827,-0.6666666666666666,0.522303650442478,0.474,62.0,15.0,1610612741,0.631578947368421,1.0,7.0,,34.26190476190476,-0.6666666666666666,0.5948681961313541,0.547,41.0,10.0
1610612749,22100696,2021-22,1,0.5142857142857142,1.0,7.0,,91.2127659574468,3.0,0.5437322218710493,0.386,62.0,8.0,1610612758,0.6285714285714286,0.0,7.0,,154.2173913043478,1.3333333333333333,0.6002762265057346,0.524,50.0,7.0
1610612749,22100744,2021-22,1,0.5315315315315315,,7.0,0.0,87.53061224489795,-2.0,0.5461366128032794,0.463,49.0,19.0,1610612752,0.5363636363636364,,7.0,0.0,108.5,-2.6666666666666665,0.5432943048201456,0.422,49.0,18.0
1610612749,22100756,2021-22,0,0.576271186440678,1.0,7.0,,85.78,1.6666666666666667,0.566798436854934,0.461,54.0,13.0,1610612743,0.5691056910569106,,7.0,1.0,45.42553191489362,7.333333333333333,0.5585994777809576,0.5,51.0,21.0
1610612749,22100768,2021-22,1,0.5454545454545454,0.0,7.0,,84.11764705882354,-12.333333333333334,0.5510857544755849,0.474,39.0,15.0,1610612764,0.5344827586206896,,7.0,0.0,187.47916666666666,-16.666666666666668,0.5186066284069913,0.417,46.0,12.0
1610612749,22100862,2021-22,0,0.5321100917431193,,7.0,0.0,76.67857142857143,5.0,0.6064010179759977,0.455,48.0,14.0,1610612757,0.5702479338842975,1.0,7.0,,122.32142857142857,-2.3333333333333335,0.5507643408170417,0.476,56.0,17.0
1610612749,22100870,2021-22,1,0.4912280701754385,0.0,7.0,,75.33333333333333,-8.0,0.5572585539728526,0.427,51.0,13.0,1610612754,0.6033057851239669,0.0,7.0,,102.28070175438596,-12.333333333333334,0.5543689738292011,0.441,64.0,13.0
1610612749,22100887,2021-22,0,0.6333333333333333,1.0,7.0,,74.03448275862068,-10.0,0.5522238317506304,0.558,54.0,15.0,1610612755,0.425531914893617,0.0,7.0,,110.55357142857143,-8.333333333333334,0.5029550827423168,0.288,47.0,9.0
1610612749,22100910,2021-22,0,0.5636363636363636,0.0,7.0,,72.79661016949153,-3.0,0.5627325890483784,0.442,54.0,7.0,1610612751,0.5245901639344263,0.0,7.0,,84.32203389830508,-10.666666666666666,0.5335352971087669,0.415,54.0,11.0
1610612749,22100924,2021-22,1,0.5752212389380531,0.0,7.0,,71.58333333333333,1.0,0.5907303119692501,0.526,56.0,15.0,1610612766,0.5882352941176471,0.0,7.0,,155.1639344262295,9.0,0.5877690400079587,0.506,58.0,17.0
1610612749,22100936,2021-22,1,0.5803571428571429,1.0,7.0,,70.40983606557377,6.0,0.5730715818105199,0.44,72.0,13.0,1610612748,0.5964912280701754,1.0,7.0,,64.04918032786885,10.666666666666666,0.5889101442640463,0.494,44.0,14.0
1610612749,22100961,2021-22,1,0.5727272727272728,,7.0,1.0,68.2063492063492,10.333333333333334,0.5685719981772613,0.489,61.0,14.0,1610612756,0.55,1.0,7.0,,104.95161290322581,9.0,0.5896315111077413,0.447,47.0,10.0
1610612749,22100984,2021-22,1,0.6666666666666666,,7.0,1.0,66.13846153846154,14.333333333333334,0.6316187080892962,0.53,57.0,13.0,1610612737,0.5737704918032787,,7.0,0.0,2.2857142857142856,2.0,0.593972879983809,0.452,60.0,14.0
1610612749,22101082,2021-22,1,0.5645161290322581,,7.0,0.0,61.47142857142857,-1.3333333333333333,0.5620850864890136,0.443,57.0,14.0,1610612741,0.6545454545454545,1.0,7.0,,20.757142857142856,-9.333333333333334,0.5840060335205967,0.489,48.0,6.0
1610612749,22101097,2021-22,1,0.6440677966101694,1.0,7.0,,60.605633802816904,6.0,0.5999627578228383,0.61,59.0,15.0,1610612764,0.5363636363636364,,7.0,0.0,128.65714285714284,-4.333333333333333,0.5550118038623787,0.412,54.0,11.0
1610612749,22101156,2021-22,0,0.4830508474576271,,7.0,1.0,57.413333333333334,-7.333333333333333,0.5288330411065654,0.449,65.0,23.0,1610612746,0.5725806451612904,,7.0,0.0,42.81333333333333,-8.0,0.5468447710383194,0.5,47.0,12.0
1610612749,22101167,2021-22,0,0.6349206349206349,0.0,7.0,,56.671052631578945,-10.333333333333334,0.5738065860801104,0.532,46.0,15.0,1610612742,0.48,,7.0,0.0,23.44736842105263,-2.0,0.5834991293814824,0.436,40.0,13.0
1610612749,22101198,2021-22,1,0.624,,7.0,1.0,55.217948717948715,-6.333333333333333,0.6073152816682228,0.529,53.0,14.0,1610612738,0.5901639344262295,,7.0,1.0,6.468354430379747,23.333333333333332,0.6492778021998395,0.489,56.0,13.0
1610612749,22200033,2022-23,1,0.5043478260869565,,7.0,1.0,,2.0,0.5043478260869565,0.405,56.0,14.0,1610612745,0.5535714285714286,0.0,7.0,,2884.0,-8.5,0.5469470046082949,0.473,60.0,14.0
1610612749,22200060,2022-23,1,0.6311475409836066,1.0,7.0,,4311.0,11.0,0.5677476835352815,0.565,55.0,16.0,1610612751,0.6379310344827587,,7.0,0.0,2494.0,-9.333333333333334,0.5890427827339928,0.54,45.0,11.0
1610612749,22200075,2022-23,1,0.5263157894736842,1.0,7.0,,2156.0,11.0,0.5539370521814158,0.443,64.0,19.0,1610612752,0.6141732283464567,1.0,7.0,,1741.0,13.333333333333334,0.613031194109586,0.536,52.0,16.0
1610612749,22200085,2022-23,1,0.5416666666666666,1.0,7.0,,1437.6666666666667,14.0,0.5663766657079857,0.385,71.0,7.0,1610612737,0.688,,7.0,1.0,39.5,4.0,0.6048227815916604,0.567,51.0,7.0
1610612749,22200100,2022-23,1,0.6052631578947368,1.0,7.0,,1078.5,10.0,0.5577485380116959,0.489,60.0,12.0,1610612765,0.5765765765765766,1.0,7.0,,1537.1666666666667,-5.0,0.5573261632164134,0.482,54.0,16.0
1610612749,22200113,2022-23,1,0.5321100917431193,1.0,7.0,,863.0,7.0,0.5596799721015077,0.437,58.0,16.0,1610612765,0.5454545454545454,,7.0,0.0,1317.7142857142858,-4.0,0.5555285258255555,0.446,51.0,12.0
1610612749,22200136,2022-23,1,0.5833333333333334,,7.0,1.0,616.7142857142857,13.333333333333334,0.5626976659086751,0.482,61.0,13.0,1610612760,0.5714285714285714,0.0,7.0,,1100.142857142857,0.6666666666666666,0.5664862914862915,0.484,45.0,10.0
1610612749,22200204,2022-23,0,0.4655172413793103,,7.0,0.0,392.72727272727275,-11.0,0.49684948535899126,0.327,58.0,17.0,1610612737,0.5172413793103449,,7.0,0.0,13.583333333333334,-3.0,0.5388548300790895,0.449,53.0,19.0
